,ref ID,curveID,Name of compound,compound class,pKa,charge,C0(ng/L),C0,E,S,A,B,V,L,pzc,mp_ratio,BET,material type,product name,pH,DOC,UV254,matrix name,matrix_type,logBV10,logub,loglb,scenario,EBCT,Tanimoto,PFAS,chain_l,PD,CD,long,short_chain,y,yub,ylb,flag,notes
222,62,9,"1,1 DCA",VOCs,NA,0,4000,4,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.212319036,4.232695657,4.21400617,PD-rssct,15,NA,0,NA,1,0,0,NA,3.895351552,3.911652849,3.896701259,0,NA
223,62,17,"1,1 DCA",VOCs,NA,0,4000,4,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.219845063,4.243621234,4.213242074,PD-rssct,15,NA,0,NA,1,0,0,NA,3.901372373,3.92039331,3.896089982,0,NA
280,78,1,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.190331698,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,3.877761682,NA,NA,0,NA
281,78,2,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,3.5,0.039,FL GW,groundwater,4.084576278,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,3.793157345,NA,NA,0,NA
282,78,3,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,1.6,0.105,FL DIL,groundwater,3.740362689,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,3.517786475,NA,NA,0,NA
283,78,8,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.115943177,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,3.818250865,NA,NA,0,NA
284,78,9,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,3.5,0.039,FL GW,groundwater,3.983175072,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,3.712036381,NA,NA,0,NA
285,78,10,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,1.6,0.105,FL DIL,groundwater,3.788875116,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,3.556596416,NA,NA,0,NA
286,78,32,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.516270883,NA,NA,"PD-rssct, low temp",7.5,NA,NA,NA,1,0,0,NA,4.138513029,NA,NA,0,NA
287,78,38,"1,1 DCA",VOCs,NA,0,5000,5,0.32,0.49,0.1,0.1,0.6352,2.316,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.450172099,NA,NA,"PD-rssct, low temp",7.5,NA,NA,NA,1,0,0,NA,4.085634002,NA,NA,0,NA
224,62,5,"1,1,1,2 TeCA",VOCs,NA,0,5500,5.5,0.6,0.76,0.16,0.12,0.88,3.803,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.922818902,4.940730381,4.904136809,PD-rssct,7.5,NA,0,NA,1,0,0,NA,4.463751445,4.478080628,4.448805771,0,NA
225,62,14,"1,1,1,2 TeCA",VOCs,NA,0,5500,5.5,0.6,0.76,0.16,0.12,0.88,3.803,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.875731474,4.901820413,4.859577955,PD-rssct,15,NA,0,NA,1,0,0,NA,4.426081503,4.446952654,4.413158687,0,NA
122,52,NA,"1,2 DCA",VOCs,NA,0,4200,4.2,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,4.130333769,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.829763338,NA,NA,0,added
123,52,NA,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1,0.016,OH,groundwater,4.352182518,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,4.007242338,NA,NA,0,added
124,52,NA,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1,0.016,OH,groundwater,4.264817823,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.937350582,NA,NA,0,added
125,52,1,"1,2 DCA",VOCs,NA,0,6700,6.7,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.110214729,4.1121699,4.108250715,"w/ 1,1-DCA, PD-rssct",15,0.043165468,0,0,1,0,0,NA,3.813668106,3.815232243,3.812096895,0,psdm needed
126,52,2,"1,2 DCA",VOCs,NA,0,4100,4.1,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.246922213,4.270345596,4.222163124,"w/ TCE, PD-rssct",15,0.043165468,0,0,1,0,0,NA,3.923034094,3.9417728,3.903226822,0,psdm needed
127,52,NA,"1,2 DCA",VOCs,NA,0,4600,4.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,6.8,1.5,0.038,BEM,surface water,4.217483944,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.899483478,NA,NA,0,NA
128,52,NA,"1,2 DCA",VOCs,NA,0,500,0.5,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,6.8,1.5,0.038,BEM,surface water,4.30535137,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.969777419,NA,NA,0,NA
129,52,NA,"1,2 DCA",VOCs,NA,0,53200,53.2,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.123851641,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.824577636,NA,NA,0,NA
130,52,NA,"1,2 DCA",VOCs,NA,0,53200,53.2,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.136720567,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.834872777,NA,NA,0,NA
131,52,NA,"1,2 DCA",VOCs,NA,0,4300,4.3,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.314772812,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.977314573,NA,NA,0,NA
132,52,NA,"1,2 DCA",VOCs,NA,0,4300,4.3,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.328726085,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.988477191,NA,NA,0,NA
133,52,NA,"1,2 DCA",VOCs,NA,0,400,0.4,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.367355921,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,4.01938106,NA,NA,0,NA
134,52,NA,"1,2 DCA",VOCs,NA,0,100,0.1,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.389166085,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,4.036829191,NA,NA,0,NA
135,52,NA,"1,2 DCA",VOCs,NA,0,400,0.4,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.394451681,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,4.041057668,NA,NA,0,NA
136,52,NA,"1,2 DCA",VOCs,NA,0,100,0.1,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7,0.3,0.004,CO I,groundwater,4.421603927,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,4.062779465,NA,NA,0,NA
137,52,NA,"1,2 DCA",VOCs,NA,0,49000,49,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,3.903089987,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.647968313,NA,NA,0,NA
138,52,NA,"1,2 DCA",VOCs,NA,0,3900,3.9,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,4.161368002,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.854590725,NA,NA,0,NA
139,52,NA,"1,2 DCA",VOCs,NA,0,3900,3.9,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,4.130333769,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.829763338,NA,NA,0,NA
140,52,NA,"1,2 DCA",VOCs,NA,0,400,0.4,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,4.204119982,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.888792309,NA,NA,0,NA
141,52,NA,"1,2 DCA",VOCs,NA,0,400,0.4,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,4.264817824,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.937350582,NA,NA,0,NA
142,52,NA,"1,2 DCA",VOCs,NA,0,4200,4.2,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1.5,0.02,CO II,groundwater,4.1430148,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.839908163,NA,NA,0,NA
143,52,NA,"1,2 DCA",VOCs,NA,0,200,0.2,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,6.8,0.1,0,DI,deionized water,4.240549249,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.917935722,NA,NA,0,NA
144,52,NA,"1,2 DCA",VOCs,NA,0,200,0.2,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,6.8,0.1,0,DI,deionized water,4.243038049,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.919926762,NA,NA,0,NA
145,52,NA,"1,2 DCA",VOCs,NA,0,5000,5,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,6.8,0.1,0,DI,deionized water,4.450249109,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,4.08569561,NA,NA,0,NA
146,52,NA,"1,2 DCA",VOCs,NA,0,5000,5,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,6.8,0.1,0,DI,deionized water,4.481442629,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,4.110650426,NA,NA,0,NA
147,52,NA,"1,2 DCA",VOCs,NA,0,500,0.5,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,8.2,0.8,0.012,dilCO II,groundwater,4.220108089,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.901582794,NA,NA,0,NA
148,52,NA,"1,2 DCA",VOCs,NA,0,4800,4.8,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,8.2,0.8,0.012,dilCO II,groundwater,4.227886705,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.907805687,NA,NA,0,NA
149,52,NA,"1,2 DCA",VOCs,NA,0,500,0.5,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1,0.016,OH,groundwater,4.238046104,NA,NA,PD-rssct,15,0.043165468,0,0,1,0,0,NA,3.915933206,NA,NA,0,NA
150,52,NA,"1,2 DCA",VOCs,NA,0,500,0.5,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.494,963,bituminous coal,Norit GAC 400,7.8,1,0.016,OH,groundwater,4.330413774,NA,NA,PD-rssct,7.5,0.043165468,0,0,1,0,0,NA,3.989827342,NA,NA,0,NA
226,62,8,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.288783693,4.358839404,4.205212224,PD-rssct,7.5,NA,0,NA,1,0,0,NA,3.956523277,4.012567846,3.889666103,0,NA
227,62,32,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7,0.3,0.0044,CO I,groundwater,4.291177979,4.308102239,4.273567351,PD-rssct,7.5,NA,0,NA,1,0,0,NA,3.958438706,3.971978114,3.944350204,0,C0 found in thesis
228,62,33,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.5,0.0202,CO II,groundwater,4.166944582,4.17526728,4.158459269,PD-rssct,7.5,NA,0,NA,1,0,0,NA,3.859051989,3.865710147,3.852263739,0,C0 found in thesis
229,62,34,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7,0.3,0.0044,CO I,groundwater,4.307445526,4.326404134,4.287621374,PD-rssct,15,NA,0,NA,1,0,0,NA,3.971452744,3.98661963,3.955593422,0,C0 found in thesis
230,62,35,"1,2 DCA",VOCs,NA,0,5600,5.6,0.42,0.64,0.1,0.11,0.6352,2.573,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.5,0.0202,CO II,groundwater,4.146884719,4.157759877,4.157759877,PD-rssct,15,NA,0,NA,1,0,0,NA,3.843004099,3.851704224,3.851704224,0,C0 found in thesis
231,62,7,"1,2 DCP",VOCs,NA,0,4700,4.7,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.757089519,4.770365908,4.743394438,PD-rssct,7.5,NA,0,NA,1,0,0,NA,4.331167938,4.34178905,4.320211873,0,NA
232,62,16,"1,2 DCP",VOCs,NA,0,4700,4.7,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.765385909,4.793931871,4.789550088,PD-rssct,15,NA,0,NA,1,0,0,NA,4.337805051,4.36064182,4.357136394,0,NA
288,78,4,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.619510721,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,4.2211049,NA,NA,0,NA
289,78,5,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,3.5,0.039,FL GW,groundwater,4.557507202,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,4.171502085,NA,NA,0,NA
290,78,6,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,1.6,0.105,FL DIL,groundwater,4.290034611,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,3.957524012,NA,NA,0,NA
291,78,11,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.574609941,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,4.185184276,NA,NA,0,NA
292,78,12,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,3.5,0.039,FL GW,groundwater,4.557507202,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,4.171502085,NA,NA,0,NA
293,78,13,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.9,1.6,0.105,FL DIL,groundwater,4.311753861,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,3.974899412,NA,NA,0,NA
294,78,34,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.816705184,NA,NA,"PD-rssct, low temp",7.5,NA,NA,NA,1,0,0,NA,4.37886047,NA,NA,0,NA
295,78,40,"1,2 DCP",VOCs,NA,0,5000,5,0.37,0.63,0,0.17,0.7761,2.836,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.816970038,NA,NA,"PD-rssct, low temp",7.5,NA,NA,NA,1,0,0,NA,4.379072353,NA,NA,0,NA
233,62,3,"1,2,3 TCP",VOCs,NA,0,7300,7.3,0.52,0.79,0,0,0.8985,3.59,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,5.034581345,5.061314862,5.006093644,PD-rssct,7.5,NA,0,NA,1,0,0,NA,4.553161399,4.574548212,4.530371238,0,NA
234,62,12,"1,2,3 TCP",VOCs,NA,0,7300,7.3,0.52,0.79,0,0,0.8985,3.59,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.5,1,0.0155,OH GW,groundwater,4.99965108,5.013759944,4.985068429,PD-rssct,15,NA,0,NA,1,0,0,NA,4.525217187,4.536504279,4.513551066,0,NA
296,78,7,"1,2,3 TCP",VOCs,NA,0,5000,5,0.52,0.79,0,0,0.8985,3.59,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,5.039493435,NA,NA,PD-rssct,7.5,NA,NA,NA,1,0,0,NA,4.557091071,NA,NA,0,NA
297,78,14,"1,2,3 TCP",VOCs,NA,0,5000,5,0.52,0.79,0,0,0.8985,3.59,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,4.933689709,NA,NA,PD-rssct,15,NA,NA,NA,1,0,0,NA,4.47244809,NA,NA,0,NA
298,78,36,"1,2,3 TCP",VOCs,NA,0,5000,5,0.52,0.79,0,0,0.8985,3.59,7.4,0.185185185,963,bituminous coal,Norit GAC 400,7.8,1.6,0.022,CO II,groundwater,5.054613055,NA,NA,"PD-rssct, low temp",7.5,NA,NA,NA,1,0,0,NA,4.569186767,NA,NA,0,NA
308,16,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,6.2,1.7,0.024,"D,LM",surface water,4.929418926,NA,NA,pilot,7,0.409356725,0,0,0,0,1,NA,4.929418926,NA,0,0,NA
321,16,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102829,899,bituminous coal,calgon F300,7.7,2.8,0.044,"B, ozonated BEM",surface water,4.892094603,NA,NA,pilot,7.5,0.409356725,0,0,0,0,1,NA,4.892094603,NA,0,0,added
1,17,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,7,3.9,0.097,"A, coagulated BEM",surface water,5.021189299,NA,NA,PD-rssct,7,0.409356725,0,0,1,0,0,NA,4.542447762,NA,NA,0,NA
7,17,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,7,3.9,0.097,"A, coagulated BEM",surface water,5.380211242,NA,NA,PD-rssct,15,0.409356725,0,0,1,0,0,NA,4.829665316,NA,NA,0,NA
11,17,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102828,899,bituminous coal,calgon F300,7.7,2.4,0.04,"B, ozonated BEM",surface water,5.146128036,NA,NA,PD-rssct,7.5,0.409356725,0,0,1,0,0,NA,4.642398752,NA,NA,0,NA
15,17,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,6,1.6,0.025,"C, OWASA",surface water,4.903089987,NA,NA,PD-rssct,7,0.409356725,0,0,1,0,0,NA,4.447968313,NA,NA,0,corrected
21,17,NA,Acetochlor,Pesticides,NA,0,392,0.392,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,7,1.4,0.018,"D, LM",surface water,5.322219295,NA,NA,PD-rssct,7,0.409356725,0,0,1,0,0,NA,4.783271759,NA,NA,0,NA
69,51,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102828,899,bituminous coal,calgon F300,8.1,2.11,0.056,conventional,surface water,4.991226076,NA,NA,PDrssct,7.5,0.409356725,0,0,1,0,0,0,4.518477184,NA,NA,0,author fitted psdm
70,51,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102828,899,bituminous coal,calgon F300,8.2,2.1,0.037,MIEX,surface water,4.897627091,NA,NA,PD-rssct,7.5,0.409356725,0,0,1,0,0,0,4.443597996,NA,NA,0,author fitted psdm
71,51,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102829,899,bituminous coal,calgon F300,8,3.85,0.061,ozone/bio,surface water,4.681241237,NA,NA,PD-rssct,7.5,0.409356725,0,0,1,0,0,0,4.270489313,NA,NA,0,author fitted psdm
72,51,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102829,899,bituminous coal,calgon F300,8.1,3,0.045,ozone/bio,surface water,4.929418926,NA,NA,PD-rssct,7.5,0.409356725,0,0,1,0,0,0,4.469031464,NA,NA,0,author fitted psdm
73,51,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.03,0.840102829,899,bituminous coal,calgon F300,8.1,2.17,0.033,ozone/bio,surface water,4.973127854,NA,NA,PD-rssct,7.5,0.409356725,0,0,1,0,0,0,4.503998606,NA,NA,0,author fitted psdm
153,57,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,6,2.02,0.032,OWASA,surface water,4.698970004,NA,NA,CD-rssct,7,0.409356725,0,0,0,1,0,NA,4.284672327,NA,NA,0,"author PSDM, corrected"
158,57,NA,Acetochlor,Pesticides,NA,0,200,0.2,1.16,1.3,0,1.3,2.1402,9.25,8.8,0.724304716,1468,bituminous coal,Norit 1240,6,2.02,0.032,OWASA,surface water,5.339451441,NA,NA,PD-rssct,7,0.409356725,0,0,1,0,0,NA,4.797057476,NA,NA,0,"author PSDM, corrected"
309,16,NA,Aldicarb,Pesticides,14.33,0,450,0.45,0.77,1.52,0.23,1.33,1.4894,5.622,8.8,0.724304716,1468,bituminous coal,Norit 1240,7,3.9,0.098,"A, coag BEM",surface water,4.812913357,NA,NA,pilot,7,0.187919463,0,0,0,0,1,NA,4.812913357,NA,0,0,NA
310,16,NA,Aldicarb,Pesticides,14.33,0,450,0.45,0.77,1.52,0.23,1.33,1.4894,5.622,8.03,0.840102829,899,bituminous coal,calgon F300,7.7,2.8,0.044,"B, ozonated BEM",surface water,4.72427587,NA,NA,pilot,7.5,0.187919463,0,0,0,0,1,NA,4.72427587,NA,0,0,NA
311,16,NA,Aldicarb,Pesticides,14.33,0,450,0.45,0.77,1.52,0.23,1.33,1.4894,5.622,8.8,0.724304716,1468,bituminous coal,Norit 1240,6.2,1.7,0.024,"D,LM",surface water,5,NA,NA,pilot,7,0.187919463,0,0,0,0,1,NA,5,NA,0,0,NA
2,17,NA,Aldicarb,Pesticides,14.33,0,450,0.45,0.77,1.52,0.23,1.33,1.4894,5.622,8.8,0.724304716,1468,bituminous coal,Norit 1240,7,3.9,0.097,"A, coagulated BEM",surface water,5.079181246,NA,NA,PD-rssct,7,0.187919463,0,0,1,0,0,NA,4.58884132,NA,NA,0,NA
8,17,NA,Aldicarb,Pesticides,14.33,0,450,0.45,0.77,1.52,0.23,1.33,1.4894,5.622,8.8,0.724304716,1468,bituminous coal,Norit 1240,7,3.9,0.097,"A, coagulated BEM",surface water,5.414973347,NA,NA,PD-rssct,15,0.187919463,0,0,1,0,0,NA,4.857475001,NA,NA,0,NA
12,17,NA,Aldicarb,Pesticides,14.33,0,450,0.45,0.77,1.52,0.23,1.33,1.4894,5.622,8.03,0.84010283,899,bituminous coal,calgon F300,7.7,2.4,0.04,"B, ozonated BEM",surface water,5.06069784,NA,NA,PD-rssct,7.5,0.187919463,0,0,1,0,0,NA,4.574054595,NA,NA,0,NA
